sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,7034,QF_UF/QG-classification/qg7/gensys_icl001.smt2,unsat,baseline,0,0,timeout,2.004508041,124,-9,1,timeout,,,"[""/tmp/euf-viper-target-cadical221/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl001.smt2""]"
1,0,7034,QF_UF/QG-classification/qg7/gensys_icl001.smt2,unsat,candidate,0,1,timeout,2.005210125,124,-9,1,timeout,,,"[""/tmp/euf-viper-target-cadical301/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl001.smt2""]"
2,1,7035,QF_UF/QG-classification/qg7/gensys_icl002.smt2,unsat,candidate,0,0,unsat,1.214040833,0,0,0,,"unsat
",,"[""/tmp/euf-viper-target-cadical301/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl002.smt2""]"
3,1,7035,QF_UF/QG-classification/qg7/gensys_icl002.smt2,unsat,baseline,0,1,unsat,0.973494167,0,0,0,,"unsat
",,"[""/tmp/euf-viper-target-cadical221/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl002.smt2""]"
4,2,7036,QF_UF/QG-classification/qg7/gensys_icl003.smt2,unsat,baseline,0,0,timeout,2.002940000,124,-9,1,timeout,,,"[""/tmp/euf-viper-target-cadical221/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl003.smt2""]"
5,2,7036,QF_UF/QG-classification/qg7/gensys_icl003.smt2,unsat,candidate,0,1,timeout,2.004323333,124,-9,1,timeout,,,"[""/tmp/euf-viper-target-cadical301/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl003.smt2""]"
6,3,7037,QF_UF/QG-classification/qg7/gensys_icl004.smt2,unsat,candidate,0,0,unsat,1.234561417,0,0,0,,"unsat
",,"[""/tmp/euf-viper-target-cadical301/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl004.smt2""]"
7,3,7037,QF_UF/QG-classification/qg7/gensys_icl004.smt2,unsat,baseline,0,1,unsat,0.873261916,0,0,0,,"unsat
",,"[""/tmp/euf-viper-target-cadical221/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl004.smt2""]"
8,4,7040,QF_UF/QG-classification/qg7/gensys_icl007.smt2,unsat,baseline,0,0,unsat,1.695940083,0,0,0,,"unsat
",,"[""/tmp/euf-viper-target-cadical221/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl007.smt2""]"
9,4,7040,QF_UF/QG-classification/qg7/gensys_icl007.smt2,unsat,candidate,0,1,timeout,2.004279042,124,-9,1,timeout,,,"[""/tmp/euf-viper-target-cadical301/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/gensys_icl007.smt2""]"
