sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,0,0,timeout,2.004232542,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
1,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,0,1,unsat,0.427988417,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
2,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,1,0,unsat,0.425347250,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
3,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,1,1,timeout,2.004146375,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
4,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,2,0,timeout,2.004692083,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
5,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,2,1,unsat,0.429663917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
6,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,3,0,unsat,0.428000625,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
7,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,3,1,timeout,2.004250084,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
8,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,4,0,timeout,2.004221500,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
9,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,4,1,unsat,0.424721291,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
