sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,0,0,unsat,0.152487250,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
1,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,0,1,unsat,3.245679250,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""finite-jit"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
2,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,1,0,unsat,3.254007166,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""finite-jit"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
3,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,1,1,unsat,0.152640833,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
4,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,2,0,unsat,0.152519875,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
5,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,2,1,unsat,3.239720875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""finite-jit"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
6,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,3,0,unsat,3.318686959,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""finite-jit"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
7,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,3,1,unsat,0.153439459,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
8,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,4,0,unsat,0.154709750,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
9,0,3452,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,4,1,unsat,3.339590000,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""finite-jit"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
