sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,853,QF_UF/NEQ/NEQ004_size4.smt2,unsat,baseline,0,0,unsat,0.004672416,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size4.smt2""]"
1,0,853,QF_UF/NEQ/NEQ004_size4.smt2,unsat,candidate,0,1,unsat,0.003690083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size4.smt2""]"
2,1,854,QF_UF/NEQ/NEQ004_size5.smt2,unsat,candidate,0,0,unsat,0.005040291,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size5.smt2""]"
3,1,854,QF_UF/NEQ/NEQ004_size5.smt2,unsat,baseline,0,1,unsat,0.006524833,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size5.smt2""]"
4,2,855,QF_UF/NEQ/NEQ004_size6.smt2,unsat,baseline,0,0,unsat,0.010136500,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size6.smt2""]"
5,2,855,QF_UF/NEQ/NEQ004_size6.smt2,unsat,candidate,0,1,unsat,0.007503459,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size6.smt2""]"
6,3,856,QF_UF/NEQ/NEQ004_size7.smt2,unsat,candidate,0,0,unsat,0.009741166,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size7.smt2""]"
7,3,856,QF_UF/NEQ/NEQ004_size7.smt2,unsat,baseline,0,1,unsat,0.021846833,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size7.smt2""]"
8,4,857,QF_UF/NEQ/NEQ006_size3.smt2,unsat,baseline,0,0,unsat,0.008059958,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size3.smt2""]"
9,4,857,QF_UF/NEQ/NEQ006_size3.smt2,unsat,candidate,0,1,unsat,0.006611292,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size3.smt2""]"
10,5,858,QF_UF/NEQ/NEQ006_size4.smt2,unsat,candidate,0,0,unsat,0.047691083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size4.smt2""]"
