sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,0,0,timeout,2.004173042,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
1,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,0,1,unsat,0.430341208,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
2,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,1,0,unsat,0.421429125,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
3,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,1,1,timeout,2.003907209,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
4,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,2,0,timeout,2.003238333,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
5,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,2,1,unsat,0.425121042,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
6,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,3,0,unsat,0.424181584,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
7,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,3,1,timeout,2.003907708,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
8,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,4,0,timeout,2.003860916,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
9,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,4,1,unsat,0.426415375,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
10,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,5,0,unsat,0.426240125,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
11,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,5,1,timeout,2.003993042,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
12,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,6,0,timeout,2.004031000,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
13,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,6,1,unsat,0.435013083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
14,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,7,0,unsat,0.426866208,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
15,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,7,1,timeout,2.003934958,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
16,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,8,0,timeout,2.003937583,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
17,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,8,1,unsat,0.427446250,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
